Competition Title,Competition Date,Category,Rank,FIRST,LAST,Country,Qualification,Semi-final,Final,Semi-Final
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,31,MOLLY,THOMPSON-SMITH,GBR,3T4Z 3 4,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,31,ALANNAH,YIP,CAN,2T4Z 3 7,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,34,KYLIE,CULLEN,USA,2T4Z 5 8,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,35,LEONIE,LOCHNER,GER,2T4Z 8 10,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,35,SOL,SA,KOR,3T4Z 4 6,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,37,INGRID,KINDLIHAGEN,NOR,3T4Z 5 6,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,37,ANNA,LECHNER,GER,2T4Z 8 13,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,39,ADRIENE AKIKO,CLARK,USA,2T3Z 3 10,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,39,MANON,HILY,FRA,3T4Z 6 5,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,41,MIRA,CAPICCHIONI,USA,3T3Z 4 4,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,41,YUETONG,ZHANG,CHN,1T4Z 2 9,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,43,JULIJA,KRUDER,SLO,2T4Z 2 6,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,43,SANDRA,LETTNER,AUT,1T4Z 2 10,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,45,ARANTZA,LUNA VELASCO,MEX,1T2Z 2 4,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,45,QUINN,MASON,USA,2T4Z 5 9,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,47,INDIANA,CHAPMAN,CAN,2T3Z 2 7,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,47,REBECCA,FRANGOS,CAN,0T3Z 0 3,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,49,MARKETA,JANOSOVA,CZE,1T3Z 1 9,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,49,ALEKSANDRA,TOTKOVA,BUL,0T2Z 0 4,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,51,MARIANA,HANGGI CORREIA,BRA,0T2Z 0 9,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,51,REGINE,STORï¿,NOR,1T3Z 1 13,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,53,ZOE,BITTERS,USA,0T3Z 0 4,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,53,MARTINA,CASTRO,CHI,0T1Z 0 1,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,53,IRIS,HEIKKINEN,FIN,0T1Z 0 1,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,56,MARï¿½ï¿½A FERN,HIDALGO AMEZQUITA,MEX,0T1Z 0 1,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,56,BIANKA,JANECKA,POL,0T1Z 0 1,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,58,LAURA,FARHAT DE ARAUJO FRAGA TIMO,BRA,0T1Z 0 3,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,58,ELIZABETH,SEPULVEDA,PUR,0T1Z 0 3,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,60,ZOE,GARCIA MOLINA,ARG,0T1Z 0 3,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,61,SOFIA ALEJANDRA,HERRERA VEGA CENTENO,PER,0T0Z 0 0,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,1,DOHYUN,LEE,KOR,4T5Z 10 6,3T4Z 3 15,4T4Z 5 5,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,2,ADAM,ONDRA,CZE,3T5Z 6 13,2T3Z 5 14,4T4Z 13 9,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,3,MEJDI,SCHALCK,FRA,4T4Z 16 6,2T4Z 5 11,3T4Z 3 6,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,4,YOSHIYUKI,OGATA,JPN,3T5Z 3 14,3T3Z 4 4,3T4Z 5 5,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,5,YANNICK,FLOHï¿,GER,3T5Z 8 25,2T3Z 9 18,3T3Z 9 7,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,6,JAN-LUCA,POSCH,AUT,3T5Z 7 12,2T4Z 7 12,1T3Z 1 7,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,7,SORATO,ANRAKU,JPN,4T5Z 9 13,2T2Z 5 3,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,8,COLIN,DUFFY,USA,2T5Z 7 11,1T4Z 4 14,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,9,MICKAEL,MAWEM,FRA,4T5Z 8 6,1T4Z 4 15,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,10,TOMOA,NARASAKI,JPN,4T5Z 11 7,1T4Z 15 20,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,11,RITSU,KAYOTANI,JPN,5T5Z 12 7,1T3Z 3 20,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,12,SIMON,LORENZI,BEL,3T5Z 8 7,1T3Z 6 14,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,13,HANNES,VAN DUYSEN,BEL,3T5Z 5 12,1T3Z 10 8,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,14,YUFEI,PAN,CHN,4T5Z 17 13,1T2Z 1 2,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,15,TOBY,ROBERTS,GBR,4T5Z 14 17,1T2Z 1 6,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,16,JONGWON,CHON,KOR,3T5Z 6 10,1T2Z 2 2,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,17,KOKORO,FUJII,JPN,3T5Z 9 12,1T1Z 3 1,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,18,JERNEJ,KRUDER,SLO,3T4Z 14 4,0T2Z 0 3,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,19,MAXIMILLIAN,MILNE,GBR,3T5Z 7 8,0T2Z 0 7,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,20,NIMROD,MARCUS,ISR,3T5Z 7 9,0T1Z 0 2,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,21,NIKOLAY,RUSEV,BUL,3T5Z 9 15,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,21,GREGOR,VEZONIK,SLO,2T5Z 8 9,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,23,SEAN,BAILEY,USA,3T5Z 12 23,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,23,ALEXANDER,MEGOS,GER,2T5Z 8 12,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,25,ALBERTO,GINï¿½ï¿½S Lï,ESP,2T5Z 3 10,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,25,GABRIELE,MORONI,ITA,2T5Z 12 7,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,27,JAKOB,SCHUBERT,AUT,2T5Z 3 16,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,27,NICOLAI,UZNIK,AUT,2T5Z 12 11,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,29,DAIKI,SANO,JPN,2T5Z 5 10,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,29,AO,YURIKUSA,JPN,2T4Z 3 16,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,31,PAUL,JENFT,FRA,2T4Z 7 10,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,31,HANNES,PUMAN,SWE,2T5Z 5 15,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,33,EDVARDS,GRUZITIS,LAT,1T5Z 1 12,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,33,JACK,MACDOUGALL,GBR,2T5Z 6 9,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,35,ZACH,GALLA,USA,1T5Z 2 9,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,35,MEICHI,NARASAKI,JPN,2T5Z 6 13,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,37,ZAN,LOVENJAK SUDAR,SLO,1T5Z 3 8,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,37,JAMES,POPE,GBR,2T5Z 8 20,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,39,MAX,KLEESATTEL,GER,1T5Z 3 15,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,39,MATHIEU,TERNANT,FRA,2T5Z 11 14,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,41,ANZE,PEHARC,SLO,1T5Z 8 6,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,41,THILO JELDRIK,SCHRï¿½ï¿,NOR,2T5Z 11 15,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,43,ELLIS,ERNSBERGER,USA,2T5Z 12 12,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,43,ARTHUR,LE BRIS,FRA,1T4Z 3 8,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,45,ELIAS,ARRIAGADA KRï¿½ï¿,GER,1T4Z 5 11,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,45,ALEX,KHAZANOV,ISR,2T4Z 2 11,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,47,NICOLAS,COLLIN,BEL,2T4Z 10 11,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,47,AXEL,LINDFORS,FIN,1T4Z 7 19,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,49,YUNCHAN,SONG,KOR,1T3Z 1 5,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,49,LASSE,VON FREIER,GER,1T5Z 1 11,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,51,JULIEN,CLï¿½ï¿½M,SUI,1T3Z 5 6,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,51,MANUEL,CORNU,FRA,1T5Z 2 11,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,53,LEO,AVEZOU,FRA,1T5Z 4 12,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,53,HAMISH,MCARTHUR,GBR,0T5Z 0 17,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,55,LUKE,GOH WEN BIN,SGP,1T4Z 1 9,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,55,JINBIN,HUANG,CHN,0T4Z 0 11,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,55,SLAV,KIROV,BUL,0T4Z 0 11,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,55,KA-CHUN,YAU,HKG,0T4Z 0 11,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,59,ENEKO,CARRETERO CRUZ,ESP,1T4Z 2 21,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,60,CHI-FUNG,AU,HKG,1T4Z 3 17,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,61,HUGO,HOYER,USA,0T5Z 0 14,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,61,GUILLERMO,PEINADO FRANGANILLO,ESP,0T4Z 0 13,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,61,AIDEN,YANEV,AUS,0T5Z 0 14,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,64,NILS,FAVRE,SUI,0T4Z 0 14,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,64,MICHAEL,O'NEILL,IRL,0T4Z 0 14,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,66,PAUL,BRAND,NED,0T5Z 0 20,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,67,MINSUNG,HAN,KOR,0T4Z 0 19,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,67,FREDRIK,SERLACHIUS,SWE,0T5Z 0 21,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,69,GUY,MCNAMEE,CAN,0T4Z 0 22,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,69,MARTIN,STRANIK,CZE,0T4Z 0 14,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,71,MARCELLO,BOMBARDI,ITA,0T4Z 0 15,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,71,GEVA,LEVIN,ISR,0T3Z 0 4,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,73,RAM,LEVIN,ISR,0T3Z 0 9,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,73,MAXIM,PARE,AUS,0T4Z 0 17,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,75,PETER,KURIC,SVK,0T4Z 0 28,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,75,KINDAR,MCNAMEE,CAN,0T3Z 0 10,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,77,TUUKKA,SIMONEN,FIN,0T3Z 0 15,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,77,STEPAN,STRANIK,CZE,0T3Z 0 4,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,79,JACHYM,CINK,CZE,0T3Z 0 9,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,79,ARTYOM,DEVYATERIKOV,KAZ,0T3Z 0 17,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,81,BENJAMIN,AYALA,CHI,0T2Z 0 4,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,81,ROBERT,LUBY,SVK,0T2Z 0 4,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,81,RICHARD,SCHWARK,BRA,0T3Z 0 11,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,84,NATHAN,MARTIN,LUX,0T3Z 0 12,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,85,SEAN,MCCOLL,CAN,0T2Z 0 5,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,85,ALEXEY,PANFILOV,KAZ,0T2Z 0 8,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,85,BENJAMIN,VARGAS,CHI,0T2Z 0 8,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,88,IOANNIS-FILIPPOS,NOEL-BAKER,GRE,0T2Z 0 12,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,88,SIMON,POTUCEK,CZE,0T2Z 0 12,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,90,MARK,SCANLON,IRL,0T2Z 0 9,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,91,CALRIN,CURTIS,RSA,0T2Z 0 18,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,91,LAUTARO NICOLï¿½,SORIA SANCHEZ,ARG,0T2Z 0 10,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,93,MATIAS,OCHOA MARCOS,ARG,0T1Z 0 2,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,93,VIKTOR,TRPOVSKI,MKD,0T0Z 0 0,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Men,,DON,VAN LAERE,NED,DNS,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,1,ORIANE,BERTONE,FRA,4T5Z 5 7,2T3Z 5 5,3T4Z 4 5,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,2,JANJA,GARNBRET,SLO,5T5Z 9 5,4T4Z 6 4,3T4Z 6 7,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,3,FLAVY,COHAUT,FRA,3T5Z 10 11,3T3Z 7 4,2T3Z 6 12,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,4,MIHO,NONAKA,JPN,4T5Z 7 12,3T3Z 8 5,1T3Z 1 3,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,5,STASA,GEJO,SRB,4T5Z 12 8,3T3Z 10 7,0T2Z 0 8,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,6,FUTABA,ITO,JPN,4T5Z 15 13,3T4Z 10 9,0T2Z 0 9,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,7,OCEANIA,MACKENZIE,AUS,2T5Z 2 6,1T4Z 1 8,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,8,CHAEHYUN,SEO,KOR,3T5Z 17 23,1T4Z 3 8,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,9,JESSICA,PILZ,AUT,3T5Z 12 16,1T3Z 2 5,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,10,JULIJA,KRUDER,SLO,3T5Z 6 14,1T3Z 3 8,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,11,KATJA,DEBEVEC,SLO,2T5Z 9 15,1T3Z 3 9,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,12,GIORGIA,TESIO,ITA,2T5Z 9 14,1T3Z 5 13,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,13,AYALA,KEREM,ISR,4T4Z 15 11,1T2Z 3 9,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,14,JOHANNA,Fï¿½ï¿½,AUT,3T5Z 10 9,1T2Z 4 5,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,15,SELMA,ELHADJ MIMOUNE,FRA,3T5Z 5 10,0T3Z 0 6,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,16,MIA,AOYAGI,JPN,3T5Z 3 16,0T3Z 0 8,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,17,NANAKO,KURA,JPN,3T5Z 17 16,0T3Z 0 9,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,18,SOFYA,YOKOYAMA,SUI,3T5Z 14 10,0T3Z 0 11,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,19,ADRIENE AKIKO,CLARK,USA,2T5Z 7 18,0T2Z 0 11,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,20,Hï¿½ï¿½L,JANICOT,FRA,2T5Z 9 12,0T1Z 0 1,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,21,AFRA,Hï¿½ï¿,GER,2T5Z 2 9,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,21,ZHILU,LUO,CHN,2T5Z 11 13,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,23,MADISON,FISCHER,CAN,2T5Z 2 13,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,23,PETRA,KLINGLER,SUI,2T5Z 11 19,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,25,LAURA,ROGORA,ITA,2T4Z 6 7,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,25,MELODY,SEKIKAWA,JPN,2T5Z 3 22,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,27,KYRA,CONDIE,USA,2T4Z 7 12,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,27,ERIN,MCNEICE,GBR,2T5Z 4 9,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,27,FRANZISKA,STERRER,AUT,2T4Z 7 12,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,30,CLOE,COSCOY,USA,2T5Z 7 14,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,31,GIULIA,MEDICI,ITA,2T4Z 9 16,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,31,ROXANA,WIENAND,GER,2T3Z 3 5,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,33,SOL,SA,KOR,2T4Z 13 9,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,33,YAEL,TAUB,ISR,1T5Z 4 15,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,35,LUCIJA,TARKUS,SLO,1T5Z 5 20,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,35,HOLLY,TOOTHILL,GBR,1T5Z 2 16,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,37,CHLOE,CAULIER,BEL,1T4Z 3 12,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,37,IEVGENIIA,KAZBEKOVA,UKR,1T4Z 2 6,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,39,ANNE,ACKRE,NOR,1T4Z 5 13,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,39,MICHAELA,SMETANOVA,CZE,1T4Z 2 15,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,41,LISA,KLEM,NED,1T4Z 5 19,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,41,LUCKA,RAKOVEC,SLO,1T4Z 5 19,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,41,YUETONG,ZHANG,CHN,1T3Z 3 8,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,44,DARIA,NESTERENKO,UKR,1T3Z 3 19,,,
IFSC WORLD CUP PRAGUE 2023,02 JUNE - 04 JUNE 2023,BOULDER Women,45,ELISKA,ADAMOVSKA,CZE,1T4Z 6 22,,,
